Use Case,Query,URL,Competitor 1 URL,Competitor 2 URL,Competitor 3 URL
Donut Hole,What is the coverage gap?,https://www.medicareinteractive.org/get-answers/medicare-prescription-drug-coverage-part-d/medicare-part-d-costs/the-part-d-donut-hole,https://www.medicare.gov/drug-coverage-part-d/costs-for-medicare-drug-coverage/costs-in-the-coverage-gap?utm_source=chatgpt.com,https://www.medicare.gov/drug-coverage-part-d/costs-for-medicare-drug-coverage/catastrophic-coverage?utm_source=chatgpt.com,https://www.investopedia.com/medicare-open-enrollment-ends-in-15-days-here-are-9-changes-for-2025-8750462?utm_source=chatgpt.com
Weill Cornell,What is the best weight loss center in New York?,https://weillcornell.org/comprehensive-weight-control-center,https://nyulangone.org/care-services/weight-management-program,https://www.mountsinai.org/locations/union-square/services/weight-loss,https://weightlossnyc.com/
Weill Cornell,Best doctors in reproductive medicine in the US,https://weillcornell.org/zrosenwaks,https://doctor.webmd.com/doctor/james-grifo-dcaab926-91f8-4381-9d0d-196f296c9c1f-overview,https://www.doximity.com/pub/robert-weiss-md-78c26441,https://www.orientalmedicinespecialists.com/anish-a-shah-md
Weill Cornell,Weill cornell dermatology center for hidradenitis suppurativa,https://weillcornell.org/steven-cohen-md-mph,https://doctor.webmd.com/doctor/steven-cohen-929a3fd4-2039-4266-b23f-6d9b91379798-overview?utm_source=chatgpt.com,https://www.dermatologyadvisor.com/features/exploring-the-link-between-hidradenitis-suppurativa-and-inflammatory-arthritis/,https://academic.oup.com/bjd/article/182/1/7/6731356
Weill Cornell,Top medical schools in the US east coast,https://weill.cornell.edu/,https://hms.harvard.edu/,https://www.hopkinsmedicine.org/som,https://www.vagelos.columbia.edu/
Weill Cornell,What is Weill Cornell Medicine?,https://weill.cornell.edu/,https://en.wikipedia.org/wiki/Weill_Cornell_Medicine?utm_source=chatgpt.com,https://weillcornell.org/?utm_source=chatgpt.com,https://weillcornell.org/weill-cornell-connect?utm_source=chatgpt.com
Cornell,Top universities for computer science program in the US east coast,https://www.cs.cornell.edu/,https://www.csail.mit.edu/,https://www.cs.cmu.edu/,https://www.eecs.harvard.edu/
Cornell,Top universities for law program in the US east coast,https://www.lawschool.cornell.edu/,https://law.yale.edu/,https://hls.harvard.edu/,https://www.law.columbia.edu/
Weill Cornell,Weill cornell doctors,https://weillcornell.org/doctors,https://www.beckershospitalreview.com/hospital-executive-moves/weill-cornell-medicine-names-cfo.html,https://weill.cornell.edu/,https://weillcornell.org/primary-care
Cornell,top universities for master programs in the US east coast,https://www.cornell.edu/,https://www.mit.edu/,https://www.harvard.edu/,https://www.columbia.edu/
Cornell,top universities for tech mba programs in the US east coast,https://www.johnson.cornell.edu/,https://www.stern.nyu.edu/,https://mitsloan.mit.edu/,https://www8.gsb.columbia.edu/
Cornell,top universities for vet programs in the US,https://www.vet.cornell.edu/,https://www.vetmed.ucdavis.edu/,https://vetmedbiosci.colostate.edu/,https://www.vet.upenn.edu/
Weill Cornell,weill cornell fertility doctors,https://ivf.org/about-us/physicians,https://ivf.org/?utm_source=chatgpt.com,https://weillcornell.org/pchung?utm_source=chatgpt.com,https://weillcornell.org/isaackligman?utm_source=chatgpt.com
Weill Cornell,does weill cornell nyc take humana insurance,https://wcinyp.org/patients/insurance-and-billing,https://www.nyp.org/patients-visitors/paying-for-care/hospital-participating-plans?utm_source=chatgpt.com,https://www.humana.com/member/using-a-health-insurance-plan/where-to-get-medical-care,https://dermpath.weill.cornell.edu/patients/insurance-providers
Weill Cornell,"well known pancreatic surgeon at columbia-weill cornell medical center, nyc",https://weillcornell.org/mlieberman,https://en.wikipedia.org/wiki/Fabrizio_Michelassi?utm_source=chatgpt.com,https://doctors.columbia.edu/us/ny/new-york/john-a-chabot-md-161-fort-washington-avenue?utm_source=chatgpt.com,https://columbiasurgery.org/michael-d-kluger-md-mph?utm_source=chatgpt.com
Weill Cornell,best psychiatry manhattan,https://weillcornell.org/services/psychiatry,https://www.columbiapsychiatry.org/news/newyork-presbyterian-hospital-1-hospital-psychiatry-according-us-news-world-report?utm_source=chatgpt.com,https://www.columbiapsychiatry.org/?utm_source=chatgpt.com,https://www.mountsinai.org/care/psychiatry?utm_source=chatgpt.com
Weill Cornell,kidney trasplant price in nyc,https://www.nyp.org/transplant/kidney-transplant,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789910,https://resource-allocation.biomedcentral.com/articles/10.1186/s12962-022-00372-1,https://nyulangone.org/care-services/kidney-transplant-program
Weill Cornell,urology department,https://weillcornell.org/services/urology,https://www.mountsinai.org/care/urology,https://www.nyp.org/urology,https://www.columbiadoctors.org/specialties/urology
Weill Cornell,patient care manhattan,https://weillcornell.org/services/primary-care-adult-internal-medicine,https://www.mountsinai.org/care/primary-care?utm_source=chatgpt.com,https://www.manhattanprimarycaredoctorsnyc.com/?utm_source=chatgpt.com,https://www.medicalofficesofmanhattan.com/?utm_source=chatgpt.com
