Use Case          ,Query                                                                         ,URL                                                                                                                                                                                          ,SEO Score ,SEO Score After ,SEO Score Diff ,Position Score     ,Position Score After ,Position Score Diff ,Similarity Score   ,Similarity Score After ,Similarity Score Diff   ,Website Score ,Website Score After ,Website Score Diff ,Sentiment Score ,Sentiment Score After ,Sentiment Score Diff ,Final Score        ,Final Score After  ,Final Score Diff
Weill Cornell     ,Top medical schools in the US east coast                                      ,https://weill.cornell.edu/                                                                                                                                                                   ,      1.0 ,            1.0 ,0.0            ,0.1428571428571428 ,  0.1428571428571428 ,0.0                 ,0.910607167159592  ,    0.9086520497310772 ,-0.0019551174285147     ,            1 ,                  1 ,                 0 ,          0.076 ,                0.079 ,0.003                ,0.625892862003347  ,0.626101838517644  ,0.0002089765142969
Weill Cornell     ,What is Weill Cornell Medicine?                                               ,https://weill.cornell.edu/                                                                                                                                                                   ,      0.5 ,            0.5 ,0.0            ,0.25               ,  0.2                ,-0.0499999999999999 ,0.9202046078050572 ,    0.9185914153430804 ,-0.0016131924619766     ,            1 ,                  1 ,                 0 ,          0.14  ,                0.12  ,-0.02                ,0.5620409215610114 ,0.547718283068616  ,-0.0143226384923953
Cornell           ,Top universities for computer science program in the US east coast            ,https://www.cs.cornell.edu/                                                                                                                                                                  ,      1.0 ,            1.0 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.916602810673452  ,    0.912632821712458  ,-0.0039699889609939     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.3833205621346904 ,0.3825265643424916 ,-0.0007939977921987
Cornell           ,Top universities for law program in the US east coast                         ,https://www.lawschool.cornell.edu/                                                                                                                                                           ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.9060720906054536 ,    0.9052904654434848 ,-0.0007816251619686     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2812144181210907 ,0.281058093088697  ,-0.0001563250323937
Weill Cornell     ,Weill cornell doctors                                                         ,https://weillcornell.org/doctors                                                                                                                                                             ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8379517319679761 ,    0.8379517319679761 ,0.0                     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2675903463935952 ,0.2675903463935952 ,0.0
Cornell           ,top universities for master programs in the US east coast                     ,https://www.cornell.edu/                                                                                                                                                                     ,      1.0 ,            1.0 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8900885708421498 ,    0.8989650420208308 ,0.008876471178681       ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.3780177141684299 ,0.3797930084041662 ,0.0017752942357362
Cornell           ,top universities for tech mba programs in the US east coast                   ,https://www.johnson.cornell.edu/                                                                                                                                                             ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.9005109284226799 ,    0.9005109284226799 ,0.0                     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2801021856845359 ,0.2801021856845359 ,0.0
Cornell           ,top universities for vet programs in the US                                   ,https://www.vet.cornell.edu/                                                                                                                                                                 ,      0.5 ,            0.5 ,0.0            ,0.5                ,  0.5                ,0.0                 ,0.898606858642195  ,    0.898606858642195  ,0.0                     ,            1 ,                  1 ,                 0 ,          0.047 ,                0.047 ,0.0                  ,0.589121371728439  ,0.589121371728439  ,0.0
Weill Cornell     ,weill cornell fertility doctors                                               ,https://ivf.org/about-us/physicians                                                                                                                                                          ,      0.5 ,            0.5 ,0.0            ,0.0                ,  1.0                ,1.0                 ,0.8760528968829989 ,    0.865754998450164  ,-0.0102978984328349     ,            0 ,                  1 ,                 1 ,          0.0   ,                0.223 ,0.223                ,0.2752105793765998 ,0.7177509996900329 ,0.442540420313433
Weill Cornell     ,does weill cornell nyc take humana insurance                                  ,https://wcinyp.org/patients/insurance-and-billing                                                                                                                                            ,      0.5 ,            0.5 ,0.0            ,0.0                ,  1.0                ,1.0                 ,0.8783261826767107 ,    0.8743694774282691 ,-0.0039567052484416     ,            0 ,                  1 ,                 1 ,          0.0   ,                0.044 ,0.044                ,0.2756652365353421 ,0.6836738954856538 ,0.4080086589503117
Weill Cornell     ,"well known pancreatic surgeon at columbia-weill cornell medical center, nyc" ,https://weillcornell.org/mlieberman                                                                                                                                                          ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.9102659734562368 ,    0.9102659734562368 ,0.0                     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2820531946912473 ,0.2820531946912473 ,0.0
Weill Cornell     ,best psychiatry manhattan                                                     ,https://weillcornell.org/services/psychiatry                                                                                                                                                 ,      0.5 ,            0.5 ,0.0            ,0.25               ,  0.25               ,0.0                 ,0.8664320966452211 ,    0.867016963935898  ,0.0005848672906768      ,            1 ,                  1 ,                 0 ,          0.105 ,                0.108 ,0.003                ,0.5442864193290442 ,0.5450033927871796 ,0.0007169734581353
Weill Cornell     ,kidney trasplant price in nyc                                                 ,https://www.nyp.org/transplant/kidney-transplant                                                                                                                                             ,      1.0 ,            1.0 ,0.0            ,0.5                ,  0.5                ,0.0                 ,0.8636723624935434 ,    0.8653653673990579 ,0.0016930049055144      ,            1 ,                  1 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.6727344724987087 ,0.6730730734798116 ,0.0003386009811029
Weill Cornell     ,urology department                                                            ,https://weillcornell.org/services/urology                                                                                                                                                    ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8741242176342965 ,    0.8744613422085218 ,0.0003371245742253      ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2748248435268593 ,0.2748922684417043 ,6.742491484501567e-05
Weill Cornell     ,patient care manhattan                                                        ,https://weillcornell.org/services/primary-care-adult-internal-medicine                                                                                                                       ,      1.0 ,            1.0 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8672776651031295 ,    0.8646444615617609 ,-0.0026332035413686     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.3734555330206259 ,0.3729288923123522 ,-0.0005266407082736
